,state,pop_migrated_2018,pop_migrated_2019,pop_migrated_2021,18-19_avg,winning_party,winner_percent_of_votes,pct_change_pre_post_election,avg_all years,anomaly
25,Nebraska,0.0,49.0,0.0,24.5,REPUBLICAN,0.5822416333205421,-100.0,107.66666666666667,0.0
26,Nevada,36.0,0.0,431.0,18.0,DEMOCRAT,0.5005678195728402,2294.4444444444443,74.46666666666667,5.787824529991047
27,New Hampshire,130.0,49.0,266.0,89.5,DEMOCRAT,0.5270782528014766,197.20670391061452,127.86666666666666,2.0802919708029197
28,New Jersey,2382.0,2758.0,2709.0,2570.0,DEMOCRAT,0.5733419675281298,5.408560311284047,1646.1333333333334,1.645674712457476
29,New Mexico,0.0,466.0,0.0,233.0,DEMOCRAT,0.5428928584957222,-100.0,150.86666666666667,0.0
30,New York,4642.0,4314.0,3658.0,4478.0,DEMOCRAT,0.603918845358349,-18.31174631531934,4125.533333333334,0.8866732382075851
31,North Carolina,1026.0,1481.0,1330.0,1253.5,REPUBLICAN,0.4993433248829551,6.102911846828879,1427.4666666666667,0.9317205305436204
32,North Dakota,0.0,0.0,0.0,0.0,REPUBLICAN,0.6511404873707572,,31.4,0.0
33,Ohio,1592.0,755.0,1610.0,1173.5,REPUBLICAN,0.5327130010087464,37.196420962931406,746.6666666666666,2.15625
34,Oklahoma,0.0,185.0,374.0,92.5,REPUBLICAN,0.6537327184806295,304.3243243243243,80.93333333333334,4.621087314662273
35,Oregon,80.0,172.0,426.0,126.0,DEMOCRAT,0.5645331865404888,238.0952380952381,213.0,2.0
36,Pennsylvania,1617.0,1718.0,2237.0,1667.5,DEMOCRAT,0.5000849567544814,34.15292353823089,1883.2,1.1878717077315208
37,Rhode Island,87.0,138.0,366.0,112.5,DEMOCRAT,0.5947619876593357,225.33333333333334,354.6666666666667,1.031954887218045
38,South Carolina,408.0,568.0,196.0,488.0,REPUBLICAN,0.5509348091719648,-59.83606557377049,483.53333333333336,0.4053495105473597
39,South Dakota,0.0,250.0,0.0,125.0,REPUBLICAN,0.6176938967225024,-100.0,58.666666666666664,0.0
40,Tennessee,690.0,991.0,663.0,840.5,REPUBLICAN,0.6066029416628381,-21.11838191552647,495.8,1.3372327551432028
41,Texas,1036.0,2073.0,1498.0,1554.5,REPUBLICAN,0.5205760360355265,-3.6346091990993887,1448.2,1.034387515536528
42,Utah,215.0,0.0,24.0,107.5,REPUBLICAN,0.5812983902991959,-77.67441860465117,169.4,0.14167650531286893
43,Vermont,213.0,54.0,0.0,133.5,DEMOCRAT,0.6545578055250049,-100.0,140.13333333333333,0.0
44,Washington,387.0,852.0,1817.0,619.5,DEMOCRAT,0.5797030113530306,193.30104923325263,369.0,4.924119241192412
45,West Virginia,294.0,324.0,568.0,309.0,REPUBLICAN,0.6863155192461606,83.81877022653723,322.3333333333333,1.7621509824198553
46,Wisconsin,346.0,362.0,307.0,354.0,DEMOCRAT,0.4944953686142774,-13.27683615819209,313.8,0.9783301465901848
47,Wyoming,68.0,0.0,56.0,34.0,REPUBLICAN,0.6949978994840271,64.70588235294117,22.866666666666667,2.4489795918367347
Total,,27047.0,34552.0,40989.0,30799.5,,27.58264978183763,inf,,
