,state_names,migr_adj_2005,moe_adj_2005,migr_adj_2009,moe_adj_2009,migr_adj_2013,moe_adj_2013,migr_adj_2017,moe_adj_2017,migr_adj_2021,moe_adj_2021
14,Iowa,0.0,8.96448028425552e-05,1.0343631097217909e-05,1.748837358562599e-05,3.1685080365153604e-05,2.9327120896118917e-05,0.0001046344514384,8.459179595161938e-05,2.34322222235322e-05,3.875895877225766e-05
15,Kansas,0.0,9.734910888123409e-05,3.233624246054978e-05,3.887929948466241e-05,8.462970897723742e-06,1.44183948627886e-05,5.328537231900134e-06,9.089857630888464e-06,4.544928815444232e-05,5.2345042219254264e-05
16,Kentucky,7.101900734957952e-06,1.220639188820898e-05,2.5300521368287703e-05,4.262331384009538e-05,0.0,5.786485492940488e-05,0.0,7.079935191362478e-05,0.0001712118942911,0.0002273748417226
17,Louisiana,5.818251145347428e-05,7.084955269242255e-05,0.0,6.354990180896084e-05,1.0208982306502056e-05,1.5757342255687958e-05,6.325130342071926e-05,0.0001003143478812,4.483074838942207e-05,4.5496551583324384e-05
18,Maine,0.0001277196392434,0.0001512083085295,0.0002862681569248,0.0003490815932804,0.0001842088370002,0.0001019804167542,9.897467815517212e-05,9.704241762719695e-05,6.956137900710578e-05,7.321120444883665e-05
19,Massachusetts,0.0003668606613705,0.0001452364231327,0.0001541981221115,6.782159738585817e-05,0.0,0.0001211134510066,8.955055165341881e-05,9.248663531418664e-05,0.0007545735008173,0.0004205939844049
20,Michigan,1.210638015164928e-05,1.2205612775843128e-05,2.570124966620626e-05,2.6641742500072685e-05,0.0002214819890476,8.762550112611572e-05,0.0003796630884831,0.000102846164471,0.0003398333152439,0.0001237567954216
21,Minnesota,6.361173778505681e-05,4.503640939603196e-05,3.399635573085681e-05,3.102754169723126e-05,6.172269224857257e-05,3.225060286300013e-05,8.017996034862802e-05,3.929611918076324e-05,6.0234202885664865e-05,4.1479236913027865e-05
22,Mississippi,0.0,9.657988997321764e-05,0.0,9.995680920305044e-05,0.0,2.540964732460947e-05,7.640418092089469e-05,6.851842830291243e-05,0.0001272234755701,8.832042932140119e-05
23,Missouri,1.1048084676420284e-05,1.8359317182874883e-05,1.6572127014630425e-05,1.8632209227002884e-05,0.0,7.023991998052193e-05,5.301763190837473e-05,6.145992998295669e-05,9.793065766515077e-06,2.262535883987966e-05
24,Montana,0.0,0.0002637828863935,6.087297378311697e-05,8.24915984080795e-05,4.516716970654175e-05,3.558133153141239e-05,7.57118744001743e-05,5.1828514879089274e-05,1.4135049512478892e-05,1.7546958015491038e-05
25,Nebraska,9.482519536029496e-05,9.737425975170072e-05,2.9059334062025872e-05,4.80736591120895e-05,4.058198252207798e-05,6.917383384445111e-05,0.0,0.0001918420991952,5.9950655998524294e-05,7.194078719822915e-05
26,Nevada,0.0,9.212095287852208e-05,4.734888137462499e-05,4.839797831227972e-05,1.1215883322185425e-05,1.9372889374683915e-05,0.0,0.0001060410786824,0.0,0.0001203158392743
27,New Hampshire,4.791187699133739e-05,8.13050033792392e-05,5.226750217236806e-05,7.212068208291804e-05,0.0,6.63528541712432e-05,4.122895793164625e-05,4.541627397157907e-05,0.0001388256317854,0.0001327057083424
28,New Jersey,0.0001027021871259,5.931751059371984e-05,0.0001326300781333,8.685699906254649e-05,7.84012532585521e-05,0.0001009053166938,6.388250265511651e-05,0.0001023571917542,0.0001930993830256,0.0002388334474265
29,New Mexico,0.0001001170235775,0.0001171180275812,0.0,0.0001397860329196,0.0002339327595647,0.0001021639157049,0.0002788245960757,0.0001553451320993,0.0002916354558954,0.0001250942782393
30,New York,0.0001386547930773,5.3511542776389714e-05,0.0001805333917719,5.0079830890654334e-05,0.0001940947957093,0.0002271523034943,9.728352291026963e-05,0.0001667042892588,0.0,0.0001114510262467
31,North Carolina,0.0002065255166299,0.0001224209695051,0.0001222293873932,8.117329490291959e-05,0.0002361240139161,8.217313691841529e-05,0.0002592908983003,7.400532511628365e-05,0.0001810779125587,6.162985268881147e-05
32,North Dakota,0.0,0.000367093059374,0.0,0.0003799284810305,0.0001200261931063,4.329755728975683e-05,0.0001788419014601,8.554141296405499e-05,0.0001274021044145,7.730338215228708e-05
33,Ohio,1.8305941091481567e-05,1.7288944364177035e-05,3.1611648273715856e-05,2.44835121804003e-05,0.0,0.0001912477826809,6.417710828218418e-06,1.6686048153367886e-05,0.0,0.0003029159510919
34,Oklahoma,3.207594776217225e-05,3.839011070748175e-05,1.4396291515305656e-05,2.3635021441887098e-05,2.6696164091743953e-05,2.220442854614894e-05,8.695322018453745e-05,4.2374863637688814e-05,0.0001364470609133,0.0001478035243682
35,Oregon,4.153631501141305e-05,4.10643114317379e-05,6.726051010370863e-05,5.9655353771403005e-05,3.914781026091889e-05,4.874533793778933e-05,0.0,5.253383570497503e-05,9.44598776618301e-05,0.0001002689075715
36,Pennsylvania,6.906257931045091e-05,3.9760972721050245e-05,0.0001311266121651,5.416078142385812e-05,4.5784347228489384e-05,6.11244635679317e-05,8.732066223990242e-06,1.4632110969929595e-05,0.0001005367624708,5.900044745939353e-05
37,Puerto Rico,5.4475612881078214e-05,7.060526362240305e-05,4.4736955829712274e-05,5.116504687641706e-05,0.0001674267652103,6.083351919216778e-05,0.0001402785575303,4.922054650188038e-05,0.0001720411914448,8.421327878056096e-05
38,Rhode Island,5.011942091109817e-05,8.383612225129149e-05,6.196582949008501e-05,0.0001022375510739,0.0010479515281411,0.0007873305394034,0.0002697336107215,0.0003061840986568,0.0003335219646083,0.0003171192450374
39,South Carolina,7.756292218797774e-05,8.635468918661502e-05,6.740354698955245e-05,7.531909662249618e-05,9.885853558467692e-05,6.173774159043065e-05,4.591256099288355e-05,4.180973639351949e-05,3.829302959406458e-05,5.314134719176309e-05
40,South Dakota,0.0,0.0003225562697156,6.541350924304163e-05,0.0001082637451027,0.0002289472823506,0.0002774435047204,0.0,0.000234586377975,0.0,0.0002661653134716
41,Tennessee,5.310497710842676e-05,5.6143681520625566e-05,1.2878318699318752e-05,2.066412567502648e-05,8.103211765863484e-05,5.903768572271967e-05,0.0001529481220806,8.812242795376538e-05,9.593623929941946e-05,5.252617626800794e-05
42,Texas,2.504674391471343e-05,1.7258235875480626e-05,2.8100388035822335e-05,1.9591982314597055e-05,5.5754738166314154e-05,2.4566395401280573e-05,9.80597179565082e-05,4.9064169586356456e-05,5.1397290937316064e-05,3.437922931855186e-05
43,Utah,0.0002433048377315,0.0003145234648565,2.3230110135174787e-05,3.849926289026585e-05,3.851307732936873e-05,4.829417633365285e-05,0.0001173731880514,0.0001100373637981,7.335824253213091e-06,1.1309395723703515e-05
44,Vermont,4.198564091080851e-05,7.15310919221182e-05,0.0002503588217274,0.0002373638561789,0.0,0.000234808584353,0.0006950956106344,0.0007090908242714,0.0,0.0003669856020352
45,Washington,5.749303626954033e-05,4.594251656753336e-05,2.465841284698118e-05,2.4291506377249575e-05,2.063519811931583e-05,1.9726730277584946e-05,2.673491077093749e-05,2.9979438777119224e-05,0.0002358122954892,0.0001101841710899
46,West Virginia,0.0002168682221711,0.0002096206980369,0.0001154028842916,0.0001655507218255,0.0002179832258841,0.0001365879548378,0.0,0.000115960386148,0.0003166610544813,0.0002436283112822
47,Wisconsin,8.313936974928221e-06,1.3913119019267634e-05,5.8367231007659343e-05,5.2153543013086136e-05,8.48360915809002e-07,2.036066197941605e-06,1.9512301063607047e-05,2.460246655846106e-05,5.208936023067273e-05,5.158034368118733e-05
48,Wyoming,0.0,0.0004957952746896,9.361169522112296e-05,0.0001552246715026,5.200649734506831e-06,1.5601949203520494e-05,0.0,0.0003605783815924,9.707879504412752e-05,0.0001612201417697
